background,justClass,processedRace,processedWeapons
Outlander,Fighter,Human,"Greatsword|Crossbow, Light"
Sailor,Monk,Human,Spear|Dart|Unarmed Strike
Noble,Warlock,Aasimar,Handaxe|Dagger
Acolyte,Paladin,Human,Greatsword|Javelin
Sage,Druid,Human,Sickle|Quarterstaff
Knight,Paladin,Human,Javelin
Knight,Paladin,Human,Morningstar|Greatsword|Javelin
Acolyte,Monk,Aasimar,Sling|Dart|Unarmed Strike
Acolyte,Cleric,Aasimar,Warhammer
Acolyte,Cleric,Dwarf,Warhammer
Knight,Monk,Goliath,Dart|Unarmed Strike
Acolyte,Cleric,Dwarf,Warhammer
Sage,Cleric,Human,"Warhammer|Crossbow, Light"
Folk Hero,Fighter,Dwarf,"Halberd|Crossbow, Light"
Charlatan,Rogue,Halfling,Rapier|Shortbow|Dagger
Outlander,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Acolyte,Monk,Tiefling,Quarterstaff|Dart|Unarmed Strike
Acolyte,Monk,Elf,Shortsword|Dart|Unarmed Strike
Noble,Cleric,Half-Orc,"Crossbow, Light"
Hermit,Sorcerer,Dwarf,"Crossbow, Light|Dagger|Warhammer"
Folk Hero,Warlock,Halfling,"Crossbow, Light|Quarterstaff|Dagger"
Noble,Paladin,Half-Elf,Glaive|Longsword|Javelin
Sage,Wizard,Human,Dagger
Sage,Wizard,Gnome,Quarterstaff
Hermit,Druid,Genasi,Quarterstaff|Scimitar
Noble,Paladin,Goliath,Warhammer|Javelin
Sailor,Barbarian,Human,Glaive|Javelin|Javelin
Sailor,Warlock,Half-Orc,Scimitar
Acolyte,Paladin,Half-Elf,Longsword|Longsword|Longsword
Acolyte,Paladin,Tiefling,Battleaxe|Dagger
Noble,Wizard,Human,Dagger
Charlatan,Cleric,Tiefling,"Mace|Crossbow, Light"
Folk Hero,Ranger,Firbolg,"Shortsword|Longbow|Greatsword|Crossbow, Light"
Entertainer,Bard,Half-Orc,Quarterstaff|Dagger|Shortsword
Knight,Fighter,Half-Orc,Greatsword|Handaxe
Criminal,Rogue,Human,Shortsword|Shortbow|Dagger
Criminal,Rogue,Human,Shortsword|Shortsword|Dagger
Outlander,Cleric,Elf,"Mace|Longsword|Crossbow, hand"
Folk Hero,Fighter,Human,Longbow|Scimitar|Scimitar|Handaxe
Sage,Wizard,Human,Quarterstaff
Soldier,Paladin,Dragonborn,Battleaxe|Javelin
Noble,Wizard,Human,Quarterstaff
Sage,Wizard,Human,Quarterstaff
Sage,Wizard,Human,Quarterstaff
Outlander,Barbarian,Goliath,Greataxe|Handaxe|Javelin|Unarmed Strike
Criminal,Rogue,Tiefling,"Rapier|Dagger|Crossbow, Light"
Sage,Wizard,Elf,Quarterstaff
Soldier,Monk,Human,Dart|Unarmed Strike
Acolyte,Cleric,Halfling,"Mace|Crossbow, Light"
Soldier,Paladin,Dwarf,Javelin
Hermit,Sorcerer,Human,"Crossbow, Light|Dagger"
Urchin,Monk,Human,Dagger|Dart|Unarmed Strike
Hermit,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Knight,Paladin,Human,Whip|Javelin
Hermit,Druid,Elf,None
Sage,Wizard,Gnome,Dagger
Hermit,Druid,Elf,Scimitar
Folk Hero,Cleric,Human,Spear
Hermit,Monk,Human,Dagger|Dart|Unarmed Strike
Acolyte,Warlock,Gnome,Dagger|Dagger
Noble,Paladin,Tiefling,Javelin|Greataxe|Longsword
Charlatan,Warlock,Tiefling,Dagger|Greataxe
Hermit,Barbarian,Dragonborn,Greataxe|Handaxe|Javelin
Acolyte,Cleric,Custom,"Scimitar|Rapier|Crossbow, Light|Crossbow, Heavy|Crossbow, Heavy"
Sailor,Fighter,Human,Longsword|Handaxe|Greatsword
Acolyte,Paladin,Dwarf,Longsword
Soldier,Fighter,Human,"Crossbow, Heavy|Longsword|Crossbow, Light"
Charlatan,Druid,Human,Scimitar
Noble,Wizard,Human,Quarterstaff
Urchin,Wizard,Gnome,Quarterstaff
Soldier,Cleric,Human,"Mace|Crossbow, Light"
Sailor,Sorcerer,Dragonborn,"Crossbow, Light|Dagger"
Entertainer,Bard,Halfling,"Dagger|Rapier|Longsword|Shortsword|Scimitar|Crossbow, hand"
Charlatan,Rogue,Halfling,Rapier|Shortbow|Dagger
Sage,Sorcerer,Tiefling,Dagger
Outlander,Druid,Human,None
Noble,Cleric,Human,Mace
Acolyte,Warlock,Human,"Crossbow, Light|Dagger"
Outlander,Fighter,Half-Orc,Greataxe|Longbow|Handaxe
Urchin,Fighter,Elf,"Longbow|Warhammer|Crossbow, Light"
Acolyte,Bard,Half-Orc,Rapier|Dagger|Shortbow
Criminal,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Hermit,Druid,Elf,None
